cellID	cellType	sampleID
GSM2172092	alpha	21_male
GSM2172093	alpha	21_male
GSM2172094	unsure	21_male
GSM2172095	alpha	21_male
GSM2172096	alpha	21_male
GSM2172097	unsure	21_male
GSM2172098	unsure	21_male
GSM2172099	delta	21_male
GSM2172100	alpha	21_male
GSM2172101	alpha	21_male
GSM2172102	beta	21_male
GSM2172103	unsure	21_male
GSM2172104	unsure	21_male
GSM2172105	unsure	21_male
GSM2172106	unsure	21_male
GSM2172107	unsure	21_male
GSM2172108	delta	21_male
GSM2172109	unsure	21_male
GSM2172110	alpha	21_male
GSM2172111	unsure	21_male
GSM2172112	unsure	21_male
GSM2172113	unsure	21_male
GSM2172114	alpha	21_male
GSM2172115	alpha	21_male
GSM2172116	alpha	21_male
GSM2172117	unsure	21_male
GSM2172118	unsure	21_male
GSM2172119	alpha	21_male
GSM2172120	alpha	21_male
GSM2172121	alpha	21_male
GSM2172122	alpha	21_male
GSM2172123	alpha	21_male
GSM2172124	unsure	21_male
GSM2172125	alpha	21_male
GSM2172126	alpha	21_male
GSM2172127	unsure	21_male
GSM2172128	unsure	21_male
GSM2172129	unsure	21_male
GSM2172130	unsure	21_male
GSM2172131	delta	21_male
GSM2172132	unsure	21_male
GSM2172133	unsure	21_male
GSM2172134	alpha	21_male
GSM2172135	alpha	21_male
GSM2172136	unsure	21_male
GSM2172137	alpha	21_male
GSM2172138	unsure	21_male
GSM2172139	alpha	21_male
GSM2172140	unsure	21_male
GSM2172141	alpha	21_male
GSM2172142	alpha	21_male
GSM2172143	alpha	21_male
GSM2172144	alpha	21_male
GSM2172145	unsure	21_male
GSM2172146	unsure	21_male
GSM2172147	unsure	21_male
GSM2172148	alpha	21_male
GSM2172149	alpha	21_male
GSM2172150	alpha	21_male
GSM2172151	alpha	21_male
GSM2172152	alpha	21_male
GSM2172153	alpha	21_male
GSM2172154	unsure	21_male
GSM2172155	unsure	21_male
GSM2172156	unsure	21_male
GSM2172157	alpha	21_male
GSM2172158	unsure	21_male
GSM2172159	delta	21_male
GSM2172160	alpha	21_male
