cellID,cellType,sampleID
HP1509101_M12,alpha cell,HP1509101
HP1509101_N17,alpha cell,HP1509101
HP1509101_N18,alpha cell,HP1509101
HP1509101_N20,alpha cell,HP1509101
HP1509101_N23,beta cell,HP1509101
HP1509101_N9,alpha cell,HP1509101
HP1509101_O1,delta cell,HP1509101
HP1509101_O13,alpha cell,HP1509101
HP1509101_O14,ductal cell,HP1509101
HP1509101_O16,alpha cell,HP1509101
HP1509101_O18,beta cell,HP1509101
HP1509101_O4,delta cell,HP1509101
HP1509101_O7,alpha cell,HP1509101
HP1509101_O9,alpha cell,HP1509101
HP1509101_P1,co-expression cell,HP1509101
HP1509101_P12,delta cell,HP1509101
HP1509101_P17,ductal cell,HP1509101
HP1509101_P18,alpha cell,HP1509101
HP1509101_P20,alpha cell,HP1509101
HP1509101_P23,PSC cell,HP1509101
HP1509101_P4,alpha cell,HP1509101
HP1509101_P7,co-expression cell,HP1509101
HP1509101_P8,ductal cell,HP1509101
HP1509101_P9,ductal cell,HP1509101
HP1525301T2D_A1,ductal cell,HP1525301T2D
HP1525301T2D_A11,alpha cell,HP1525301T2D
HP1525301T2D_A12,ductal cell,HP1525301T2D
HP1525301T2D_A13,ductal cell,HP1525301T2D
HP1525301T2D_A14,ductal cell,HP1525301T2D
HP1525301T2D_A15,ductal cell,HP1525301T2D
HP1525301T2D_A16,gamma cell,HP1525301T2D
HP1525301T2D_A17,ductal cell,HP1525301T2D
HP1525301T2D_A19,ductal cell,HP1525301T2D
HP1525301T2D_A3,alpha cell,HP1525301T2D
HP1525301T2D_A5,alpha cell,HP1525301T2D
HP1525301T2D_A6,alpha cell,HP1525301T2D
HP1525301T2D_A7,delta cell,HP1525301T2D
HP1525301T2D_A9,alpha cell,HP1525301T2D
HP1525301T2D_B1,alpha cell,HP1525301T2D
HP1525301T2D_B10,ductal cell,HP1525301T2D
HP1525301T2D_B11,alpha cell,HP1525301T2D
HP1525301T2D_B12,acinar cell,HP1525301T2D
HP1525301T2D_B13,alpha cell,HP1525301T2D
HP1525301T2D_B14,ductal cell,HP1525301T2D
HP1525301T2D_B15,alpha cell,HP1525301T2D
HP1525301T2D_B18,alpha cell,HP1525301T2D
HP1525301T2D_B21,ductal cell,HP1525301T2D
HP1525301T2D_B24,ductal cell,HP1525301T2D
HP1525301T2D_B3,ductal cell,HP1525301T2D
HP1525301T2D_B4,alpha cell,HP1525301T2D
HP1525301T2D_B5,gamma cell,HP1525301T2D
HP1525301T2D_B6,PSC cell,HP1525301T2D
HP1525301T2D_B7,alpha cell,HP1525301T2D
HP1525301T2D_B8,gamma cell,HP1525301T2D
HP1525301T2D_C1,alpha cell,HP1525301T2D
HP1525301T2D_C10,alpha cell,HP1525301T2D
HP1525301T2D_C11,ductal cell,HP1525301T2D
HP1525301T2D_C13,ductal cell,HP1525301T2D
HP1525301T2D_C14,acinar cell,HP1525301T2D
HP1525301T2D_C15,ductal cell,HP1525301T2D
HP1525301T2D_C16,alpha cell,HP1525301T2D
HP1525301T2D_C17,ductal cell,HP1525301T2D
HP1525301T2D_C19,ductal cell,HP1525301T2D
HP1525301T2D_C2,alpha cell,HP1525301T2D
HP1525301T2D_C21,ductal cell,HP1525301T2D
HP1525301T2D_C22,ductal cell,HP1525301T2D
HP1525301T2D_C23,acinar cell,HP1525301T2D
HP1525301T2D_C24,ductal cell,HP1525301T2D
HP1525301T2D_C3,ductal cell,HP1525301T2D
HP1525301T2D_C4,ductal cell,HP1525301T2D
HP1525301T2D_C5,alpha cell,HP1525301T2D
HP1525301T2D_C6,ductal cell,HP1525301T2D
HP1525301T2D_C7,acinar cell,HP1525301T2D
HP1525301T2D_C8,alpha cell,HP1525301T2D
HP1525301T2D_C9,ductal cell,HP1525301T2D
HP1525301T2D_D1,ductal cell,HP1525301T2D
HP1525301T2D_D10,acinar cell,HP1525301T2D
HP1525301T2D_D11,alpha cell,HP1525301T2D
HP1525301T2D_D12,gamma cell,HP1525301T2D
HP1525301T2D_D14,ductal cell,HP1525301T2D
HP1525301T2D_D15,ductal cell,HP1525301T2D
HP1525301T2D_D19,delta cell,HP1525301T2D
HP1525301T2D_D2,ductal cell,HP1525301T2D
HP1525301T2D_D21,PSC cell,HP1525301T2D
HP1525301T2D_D22,ductal cell,HP1525301T2D
HP1525301T2D_D23,beta cell,HP1525301T2D
HP1525301T2D_D3,ductal cell,HP1525301T2D
HP1525301T2D_D4,ductal cell,HP1525301T2D
HP1525301T2D_D6,acinar cell,HP1525301T2D
HP1525301T2D_D8,ductal cell,HP1525301T2D
HP1525301T2D_D9,alpha cell,HP1525301T2D
HP1525301T2D_E1,alpha cell,HP1525301T2D
HP1525301T2D_E11,ductal cell,HP1525301T2D
HP1525301T2D_E12,PSC cell,HP1525301T2D
HP1525301T2D_E13,alpha cell,HP1525301T2D
HP1525301T2D_E15,ductal cell,HP1525301T2D
HP1525301T2D_E16,alpha cell,HP1525301T2D
HP1525301T2D_E17,ductal cell,HP1525301T2D
HP1525301T2D_E19,gamma cell,HP1525301T2D
HP1525301T2D_E2,acinar cell,HP1525301T2D
HP1525301T2D_E22,alpha cell,HP1525301T2D
HP1525301T2D_E23,alpha cell,HP1525301T2D
HP1525301T2D_E24,PSC cell,HP1525301T2D
HP1525301T2D_E3,gamma cell,HP1525301T2D
HP1525301T2D_E5,PSC cell,HP1525301T2D
HP1525301T2D_E7,alpha cell,HP1525301T2D
HP1525301T2D_E8,alpha cell,HP1525301T2D
HP1525301T2D_F10,acinar cell,HP1525301T2D
HP1525301T2D_F12,ductal cell,HP1525301T2D
HP1525301T2D_F15,beta cell,HP1525301T2D
HP1525301T2D_F16,ductal cell,HP1525301T2D
HP1525301T2D_F19,alpha cell,HP1525301T2D
HP1525301T2D_F2,alpha cell,HP1525301T2D
HP1525301T2D_F21,ductal cell,HP1525301T2D
HP1525301T2D_F23,beta cell,HP1525301T2D
HP1525301T2D_F24,PSC cell,HP1525301T2D
HP1525301T2D_F3,acinar cell,HP1525301T2D
HP1525301T2D_F4,alpha cell,HP1525301T2D
HP1525301T2D_F5,acinar cell,HP1525301T2D
HP1525301T2D_F7,PSC cell,HP1525301T2D
HP1525301T2D_F8,ductal cell,HP1525301T2D
HP1525301T2D_G1,alpha cell,HP1525301T2D
HP1525301T2D_G10,ductal cell,HP1525301T2D
HP1525301T2D_G11,alpha cell,HP1525301T2D
HP1525301T2D_G13,ductal cell,HP1525301T2D
HP1525301T2D_G14,ductal cell,HP1525301T2D
HP1525301T2D_G15,alpha cell,HP1525301T2D
HP1525301T2D_G17,acinar cell,HP1525301T2D
HP1525301T2D_G18,alpha cell,HP1525301T2D
HP1525301T2D_G19,alpha cell,HP1525301T2D
HP1525301T2D_G20,ductal cell,HP1525301T2D
HP1525301T2D_G21,ductal cell,HP1525301T2D
HP1525301T2D_G22,alpha cell,HP1525301T2D
HP1525301T2D_G23,gamma cell,HP1525301T2D
HP1525301T2D_G3,ductal cell,HP1525301T2D
HP1525301T2D_G4,alpha cell,HP1525301T2D
HP1525301T2D_G5,ductal cell,HP1525301T2D
HP1525301T2D_G8,beta cell,HP1525301T2D
HP1525301T2D_G9,ductal cell,HP1525301T2D
HP1525301T2D_H1,ductal cell,HP1525301T2D
HP1525301T2D_H10,beta cell,HP1525301T2D
HP1525301T2D_H11,ductal cell,HP1525301T2D
HP1525301T2D_H12,alpha cell,HP1525301T2D
HP1525301T2D_H14,ductal cell,HP1525301T2D
HP1525301T2D_H16,ductal cell,HP1525301T2D
HP1525301T2D_H17,ductal cell,HP1525301T2D
HP1525301T2D_H18,ductal cell,HP1525301T2D
HP1525301T2D_H19,alpha cell,HP1525301T2D
HP1525301T2D_H2,ductal cell,HP1525301T2D
HP1525301T2D_H20,alpha cell,HP1525301T2D
HP1525301T2D_H23,alpha cell,HP1525301T2D
HP1525301T2D_H24,ductal cell,HP1525301T2D
HP1525301T2D_H3,ductal cell,HP1525301T2D
HP1525301T2D_H6,alpha cell,HP1525301T2D
HP1525301T2D_H7,alpha cell,HP1525301T2D
HP1525301T2D_H8,acinar cell,HP1525301T2D
HP1525301T2D_H9,acinar cell,HP1525301T2D
HP1525301T2D_I1,ductal cell,HP1525301T2D
HP1525301T2D_I10,ductal cell,HP1525301T2D
HP1525301T2D_I11,MHC class II cell,HP1525301T2D
HP1525301T2D_I12,alpha cell,HP1525301T2D
HP1525301T2D_I15,ductal cell,HP1525301T2D
HP1525301T2D_I16,ductal cell,HP1525301T2D
HP1525301T2D_I17,ductal cell,HP1525301T2D
HP1525301T2D_I18,ductal cell,HP1525301T2D
HP1525301T2D_I19,ductal cell,HP1525301T2D
HP1525301T2D_I2,alpha cell,HP1525301T2D
HP1525301T2D_I21,alpha cell,HP1525301T2D
HP1525301T2D_I22,ductal cell,HP1525301T2D
HP1525301T2D_I23,ductal cell,HP1525301T2D
HP1525301T2D_I24,ductal cell,HP1525301T2D
HP1525301T2D_I3,ductal cell,HP1525301T2D
HP1525301T2D_I4,alpha cell,HP1525301T2D
HP1525301T2D_I5,alpha cell,HP1525301T2D
HP1525301T2D_I6,beta cell,HP1525301T2D
HP1525301T2D_I7,alpha cell,HP1525301T2D
HP1525301T2D_I8,ductal cell,HP1525301T2D
HP1525301T2D_J1,alpha cell,HP1525301T2D
HP1525301T2D_J10,delta cell,HP1525301T2D
HP1525301T2D_J13,alpha cell,HP1525301T2D
HP1525301T2D_J14,alpha cell,HP1525301T2D
HP1525301T2D_J15,ductal cell,HP1525301T2D
HP1525301T2D_J16,acinar cell,HP1525301T2D
HP1525301T2D_J17,PSC cell,HP1525301T2D
HP1525301T2D_J18,gamma cell,HP1525301T2D
HP1525301T2D_J19,alpha cell,HP1525301T2D
HP1525301T2D_J2,alpha cell,HP1525301T2D
HP1525301T2D_J20,ductal cell,HP1525301T2D
HP1525301T2D_J21,ductal cell,HP1525301T2D
HP1525301T2D_J23,acinar cell,HP1525301T2D
HP1525301T2D_J4,alpha cell,HP1525301T2D
HP1525301T2D_J5,acinar cell,HP1525301T2D
HP1525301T2D_J7,ductal cell,HP1525301T2D
HP1525301T2D_J8,alpha cell,HP1525301T2D
HP1525301T2D_J9,ductal cell,HP1525301T2D
HP1525301T2D_K1,ductal cell,HP1525301T2D
HP1525301T2D_K10,PSC cell,HP1525301T2D
HP1525301T2D_K11,ductal cell,HP1525301T2D
HP1525301T2D_K12,ductal cell,HP1525301T2D
HP1525301T2D_K14,ductal cell,HP1525301T2D
HP1525301T2D_K15,alpha cell,HP1525301T2D
HP1525301T2D_K16,ductal cell,HP1525301T2D
HP1525301T2D_K17,ductal cell,HP1525301T2D
HP1525301T2D_K18,ductal cell,HP1525301T2D
HP1525301T2D_K19,alpha cell,HP1525301T2D
HP1525301T2D_K2,ductal cell,HP1525301T2D
HP1525301T2D_K21,ductal cell,HP1525301T2D
HP1525301T2D_K22,alpha cell,HP1525301T2D
HP1525301T2D_K23,alpha cell,HP1525301T2D
HP1525301T2D_K3,alpha cell,HP1525301T2D
HP1525301T2D_K5,acinar cell,HP1525301T2D
HP1525301T2D_K6,ductal cell,HP1525301T2D
HP1525301T2D_K7,acinar cell,HP1525301T2D
HP1525301T2D_K8,acinar cell,HP1525301T2D
HP1525301T2D_L1,ductal cell,HP1525301T2D
HP1525301T2D_L13,ductal cell,HP1525301T2D
HP1525301T2D_L14,beta cell,HP1525301T2D
HP1525301T2D_L15,alpha cell,HP1525301T2D
HP1525301T2D_L16,ductal cell,HP1525301T2D
HP1525301T2D_L17,beta cell,HP1525301T2D
HP1525301T2D_L2,ductal cell,HP1525301T2D
HP1525301T2D_L20,ductal cell,HP1525301T2D
HP1525301T2D_L22,alpha cell,HP1525301T2D
HP1525301T2D_L23,ductal cell,HP1525301T2D
HP1525301T2D_L24,alpha cell,HP1525301T2D
HP1525301T2D_L4,ductal cell,HP1525301T2D
HP1525301T2D_L5,acinar cell,HP1525301T2D
HP1525301T2D_L6,ductal cell,HP1525301T2D
HP1525301T2D_L8,PSC cell,HP1525301T2D
HP1525301T2D_L9,alpha cell,HP1525301T2D
HP1525301T2D_M10,alpha cell,HP1525301T2D
HP1525301T2D_M11,ductal cell,HP1525301T2D
HP1525301T2D_M12,ductal cell,HP1525301T2D
HP1525301T2D_M13,alpha cell,HP1525301T2D
HP1525301T2D_M14,co-expression cell,HP1525301T2D
HP1525301T2D_M15,ductal cell,HP1525301T2D
HP1525301T2D_M16,alpha cell,HP1525301T2D
HP1525301T2D_M17,delta cell,HP1525301T2D
HP1525301T2D_M2,PSC cell,HP1525301T2D
HP1525301T2D_M20,ductal cell,HP1525301T2D
HP1525301T2D_M22,ductal cell,HP1525301T2D
HP1525301T2D_M5,acinar cell,HP1525301T2D
HP1525301T2D_M6,ductal cell,HP1525301T2D
HP1525301T2D_M7,beta cell,HP1525301T2D
HP1525301T2D_M8,alpha cell,HP1525301T2D
HP1525301T2D_M9,ductal cell,HP1525301T2D
HP1525301T2D_N1,ductal cell,HP1525301T2D
HP1525301T2D_N10,acinar cell,HP1525301T2D
HP1525301T2D_N11,ductal cell,HP1525301T2D
HP1525301T2D_N12,ductal cell,HP1525301T2D
HP1525301T2D_N13,alpha cell,HP1525301T2D
HP1525301T2D_N14,ductal cell,HP1525301T2D
HP1525301T2D_N16,ductal cell,HP1525301T2D
HP1525301T2D_N18,beta cell,HP1525301T2D
HP1525301T2D_N20,ductal cell,HP1525301T2D
HP1525301T2D_N21,gamma cell,HP1525301T2D
HP1525301T2D_N23,alpha cell,HP1525301T2D
HP1525301T2D_N24,alpha cell,HP1525301T2D
HP1525301T2D_N3,beta cell,HP1525301T2D
HP1525301T2D_N4,ductal cell,HP1525301T2D
HP1525301T2D_N5,ductal cell,HP1525301T2D
HP1525301T2D_N6,ductal cell,HP1525301T2D
HP1525301T2D_N7,alpha cell,HP1525301T2D
HP1525301T2D_N8,alpha cell,HP1525301T2D
HP1525301T2D_N9,alpha cell,HP1525301T2D
HP1525301T2D_O1,acinar cell,HP1525301T2D
HP1525301T2D_O11,gamma cell,HP1525301T2D
HP1525301T2D_O13,alpha cell,HP1525301T2D
HP1525301T2D_O14,ductal cell,HP1525301T2D
HP1525301T2D_O16,ductal cell,HP1525301T2D
HP1525301T2D_O17,ductal cell,HP1525301T2D
HP1525301T2D_O18,alpha cell,HP1525301T2D
HP1525301T2D_O2,delta cell,HP1525301T2D
HP1525301T2D_O20,ductal cell,HP1525301T2D
HP1525301T2D_O22,ductal cell,HP1525301T2D
HP1525301T2D_O23,ductal cell,HP1525301T2D
HP1525301T2D_O24,ductal cell,HP1525301T2D
HP1525301T2D_O3,acinar cell,HP1525301T2D
HP1525301T2D_O5,alpha cell,HP1525301T2D
HP1525301T2D_O6,alpha cell,HP1525301T2D
HP1525301T2D_O7,ductal cell,HP1525301T2D
HP1525301T2D_O9,PSC cell,HP1525301T2D
HP1525301T2D_P1,ductal cell,HP1525301T2D
HP1525301T2D_P11,alpha cell,HP1525301T2D
HP1525301T2D_P13,ductal cell,HP1525301T2D
HP1525301T2D_P14,ductal cell,HP1525301T2D
HP1525301T2D_P15,endothelial cell,HP1525301T2D
HP1525301T2D_P16,PSC cell,HP1525301T2D
HP1525301T2D_P17,alpha cell,HP1525301T2D
HP1525301T2D_P18,alpha cell,HP1525301T2D
HP1525301T2D_P19,ductal cell,HP1525301T2D
HP1525301T2D_P2,ductal cell,HP1525301T2D
HP1525301T2D_P20,ductal cell,HP1525301T2D
HP1525301T2D_P21,ductal cell,HP1525301T2D
HP1525301T2D_P22,alpha cell,HP1525301T2D
HP1525301T2D_P23,ductal cell,HP1525301T2D
HP1525301T2D_P24,alpha cell,HP1525301T2D
HP1525301T2D_P4,ductal cell,HP1525301T2D
HP1525301T2D_P5,ductal cell,HP1525301T2D
HP1525301T2D_P6,alpha cell,HP1525301T2D
HP1525301T2D_P8,alpha cell,HP1525301T2D
HP1525301T2D_P9,alpha cell,HP1525301T2D
HP1526901T2D_A1,beta cell,HP1526901T2D
HP1526901T2D_A10,delta cell,HP1526901T2D
HP1526901T2D_A11,ductal cell,HP1526901T2D
HP1526901T2D_A12,alpha cell,HP1526901T2D
HP1526901T2D_A13,co-expression cell,HP1526901T2D
HP1526901T2D_A14,beta cell,HP1526901T2D
HP1526901T2D_A15,gamma cell,HP1526901T2D
HP1526901T2D_A16,delta cell,HP1526901T2D
HP1526901T2D_A17,alpha cell,HP1526901T2D
HP1526901T2D_A19,beta cell,HP1526901T2D
HP1526901T2D_A2,beta cell,HP1526901T2D
HP1526901T2D_A20,gamma cell,HP1526901T2D
HP1526901T2D_A21,ductal cell,HP1526901T2D
HP1526901T2D_A22,delta cell,HP1526901T2D
HP1526901T2D_A23,co-expression cell,HP1526901T2D
HP1526901T2D_A24,ductal cell,HP1526901T2D
HP1526901T2D_A3,alpha cell,HP1526901T2D
HP1526901T2D_A4,delta cell,HP1526901T2D
HP1526901T2D_A5,beta cell,HP1526901T2D
HP1526901T2D_A6,acinar cell,HP1526901T2D
HP1526901T2D_A7,alpha cell,HP1526901T2D
HP1526901T2D_A8,alpha cell,HP1526901T2D
HP1526901T2D_A9,alpha cell,HP1526901T2D
HP1526901T2D_B1,beta cell,HP1526901T2D
HP1526901T2D_B10,beta cell,HP1526901T2D
HP1526901T2D_B11,alpha cell,HP1526901T2D
HP1526901T2D_B12,alpha cell,HP1526901T2D
HP1526901T2D_B13,gamma cell,HP1526901T2D
HP1526901T2D_B14,alpha cell,HP1526901T2D
HP1526901T2D_B17,alpha cell,HP1526901T2D
HP1526901T2D_B18,delta cell,HP1526901T2D
HP1526901T2D_B20,alpha cell,HP1526901T2D
HP1526901T2D_B23,ductal cell,HP1526901T2D
HP1526901T2D_B24,ductal cell,HP1526901T2D
HP1526901T2D_B3,ductal cell,HP1526901T2D
HP1526901T2D_B4,beta cell,HP1526901T2D
HP1526901T2D_B5,ductal cell,HP1526901T2D
HP1526901T2D_B6,delta cell,HP1526901T2D
HP1526901T2D_B7,delta cell,HP1526901T2D
HP1526901T2D_B9,beta cell,HP1526901T2D
HP1526901T2D_C1,delta cell,HP1526901T2D
HP1526901T2D_C10,beta cell,HP1526901T2D
HP1526901T2D_C11,beta cell,HP1526901T2D
HP1526901T2D_C13,gamma cell,HP1526901T2D
HP1526901T2D_C14,ductal cell,HP1526901T2D
HP1526901T2D_C15,delta cell,HP1526901T2D
HP1526901T2D_C16,alpha cell,HP1526901T2D
HP1526901T2D_C17,beta cell,HP1526901T2D
HP1526901T2D_C19,gamma cell,HP1526901T2D
HP1526901T2D_C2,alpha cell,HP1526901T2D
HP1526901T2D_C20,ductal cell,HP1526901T2D
HP1526901T2D_C22,ductal cell,HP1526901T2D
HP1526901T2D_C23,ductal cell,HP1526901T2D
HP1526901T2D_C24,delta cell,HP1526901T2D
HP1526901T2D_C3,beta cell,HP1526901T2D
HP1526901T2D_C4,alpha cell,HP1526901T2D
HP1526901T2D_C6,alpha cell,HP1526901T2D
HP1526901T2D_C8,acinar cell,HP1526901T2D
HP1526901T2D_D1,alpha cell,HP1526901T2D
HP1526901T2D_D10,gamma cell,HP1526901T2D
HP1526901T2D_D12,ductal cell,HP1526901T2D
HP1526901T2D_D14,gamma cell,HP1526901T2D
HP1526901T2D_D16,alpha cell,HP1526901T2D
HP1526901T2D_D17,beta cell,HP1526901T2D
HP1526901T2D_D18,alpha cell,HP1526901T2D
HP1526901T2D_D19,beta cell,HP1526901T2D
HP1526901T2D_D2,ductal cell,HP1526901T2D
HP1526901T2D_D21,delta cell,HP1526901T2D
HP1526901T2D_D22,ductal cell,HP1526901T2D
HP1526901T2D_D24,delta cell,HP1526901T2D
HP1526901T2D_D3,ductal cell,HP1526901T2D
HP1526901T2D_D4,ductal cell,HP1526901T2D
HP1526901T2D_D5,alpha cell,HP1526901T2D
HP1526901T2D_D7,acinar cell,HP1526901T2D
HP1526901T2D_D8,alpha cell,HP1526901T2D
HP1526901T2D_D9,alpha cell,HP1526901T2D
HP1526901T2D_E1,ductal cell,HP1526901T2D
HP1526901T2D_E10,gamma cell,HP1526901T2D
HP1526901T2D_E11,beta cell,HP1526901T2D
HP1526901T2D_E14,ductal cell,HP1526901T2D
HP1526901T2D_E15,PSC cell,HP1526901T2D
HP1526901T2D_E16,acinar cell,HP1526901T2D
HP1526901T2D_E18,alpha cell,HP1526901T2D
HP1526901T2D_E19,delta cell,HP1526901T2D
HP1526901T2D_E2,beta cell,HP1526901T2D
HP1526901T2D_E20,delta cell,HP1526901T2D
HP1526901T2D_E21,delta cell,HP1526901T2D
HP1526901T2D_E22,ductal cell,HP1526901T2D
HP1526901T2D_E23,ductal cell,HP1526901T2D
HP1526901T2D_E3,delta cell,HP1526901T2D
HP1526901T2D_E4,gamma cell,HP1526901T2D
HP1526901T2D_E5,gamma cell,HP1526901T2D
HP1526901T2D_E6,alpha cell,HP1526901T2D
HP1526901T2D_E8,alpha cell,HP1526901T2D
HP1526901T2D_E9,ductal cell,HP1526901T2D
HP1526901T2D_F1,alpha cell,HP1526901T2D
HP1526901T2D_F10,alpha cell,HP1526901T2D
HP1526901T2D_F12,gamma cell,HP1526901T2D
HP1526901T2D_F15,ductal cell,HP1526901T2D
HP1526901T2D_F16,ductal cell,HP1526901T2D
HP1526901T2D_F17,beta cell,HP1526901T2D
HP1526901T2D_F18,beta cell,HP1526901T2D
HP1526901T2D_F19,alpha cell,HP1526901T2D
HP1526901T2D_F2,alpha cell,HP1526901T2D
HP1526901T2D_F20,alpha cell,HP1526901T2D
HP1526901T2D_F21,alpha cell,HP1526901T2D
HP1526901T2D_F22,ductal cell,HP1526901T2D
HP1526901T2D_F23,delta cell,HP1526901T2D
HP1526901T2D_F24,ductal cell,HP1526901T2D
HP1526901T2D_F3,alpha cell,HP1526901T2D
HP1526901T2D_F5,beta cell,HP1526901T2D
HP1526901T2D_F7,gamma cell,HP1526901T2D
HP1526901T2D_F8,ductal cell,HP1526901T2D
HP1526901T2D_F9,alpha cell,HP1526901T2D
HP1526901T2D_G1,gamma cell,HP1526901T2D
HP1526901T2D_G10,alpha cell,HP1526901T2D
HP1526901T2D_G11,MHC class II cell,HP1526901T2D
HP1526901T2D_G13,alpha cell,HP1526901T2D
HP1526901T2D_G14,alpha cell,HP1526901T2D
HP1526901T2D_G16,alpha cell,HP1526901T2D
HP1526901T2D_G17,beta cell,HP1526901T2D
HP1526901T2D_G18,alpha cell,HP1526901T2D
HP1526901T2D_G19,gamma cell,HP1526901T2D
HP1526901T2D_G2,delta cell,HP1526901T2D
HP1526901T2D_G21,beta cell,HP1526901T2D
HP1526901T2D_G22,ductal cell,HP1526901T2D
HP1526901T2D_G23,delta cell,HP1526901T2D
HP1526901T2D_G24,ductal cell,HP1526901T2D
HP1526901T2D_G4,beta cell,HP1526901T2D
HP1526901T2D_G7,alpha cell,HP1526901T2D
HP1526901T2D_G8,alpha cell,HP1526901T2D
HP1526901T2D_G9,gamma cell,HP1526901T2D
HP1526901T2D_H10,beta cell,HP1526901T2D
HP1526901T2D_H12,alpha cell,HP1526901T2D
HP1526901T2D_H14,co-expression cell,HP1526901T2D
HP1526901T2D_H16,gamma cell,HP1526901T2D
HP1526901T2D_H17,alpha cell,HP1526901T2D
HP1526901T2D_H18,delta cell,HP1526901T2D
HP1526901T2D_H19,alpha cell,HP1526901T2D
HP1526901T2D_H2,acinar cell,HP1526901T2D
HP1526901T2D_H20,beta cell,HP1526901T2D
HP1526901T2D_H21,ductal cell,HP1526901T2D
HP1526901T2D_H22,beta cell,HP1526901T2D
HP1526901T2D_H23,gamma cell,HP1526901T2D
HP1526901T2D_H24,beta cell,HP1526901T2D
HP1526901T2D_H3,gamma cell,HP1526901T2D
HP1526901T2D_H4,beta cell,HP1526901T2D
HP1526901T2D_H5,ductal cell,HP1526901T2D
HP1526901T2D_H6,alpha cell,HP1526901T2D
HP1526901T2D_H8,ductal cell,HP1526901T2D
HP1526901T2D_H9,ductal cell,HP1526901T2D
HP1526901T2D_I1,ductal cell,HP1526901T2D
HP1526901T2D_I10,delta cell,HP1526901T2D
HP1526901T2D_I11,delta cell,HP1526901T2D
HP1526901T2D_I12,acinar cell,HP1526901T2D
HP1526901T2D_I13,beta cell,HP1526901T2D
HP1526901T2D_I14,alpha cell,HP1526901T2D
HP1526901T2D_I15,alpha cell,HP1526901T2D
HP1526901T2D_I16,alpha cell,HP1526901T2D
HP1526901T2D_I17,acinar cell,HP1526901T2D
HP1526901T2D_I18,delta cell,HP1526901T2D
HP1526901T2D_I19,delta cell,HP1526901T2D
HP1526901T2D_I20,beta cell,HP1526901T2D
HP1526901T2D_I21,alpha cell,HP1526901T2D
HP1526901T2D_I22,beta cell,HP1526901T2D
HP1526901T2D_I24,gamma cell,HP1526901T2D
HP1526901T2D_I3,beta cell,HP1526901T2D
HP1526901T2D_I4,alpha cell,HP1526901T2D
HP1526901T2D_I5,co-expression cell,HP1526901T2D
HP1526901T2D_I6,alpha cell,HP1526901T2D
HP1526901T2D_I7,alpha cell,HP1526901T2D
HP1526901T2D_I8,alpha cell,HP1526901T2D
HP1526901T2D_I9,PSC cell,HP1526901T2D
HP1526901T2D_J1,delta cell,HP1526901T2D
HP1526901T2D_J11,ductal cell,HP1526901T2D
HP1526901T2D_J12,ductal cell,HP1526901T2D
HP1526901T2D_J13,alpha cell,HP1526901T2D
HP1526901T2D_J14,alpha cell,HP1526901T2D
HP1526901T2D_J17,gamma cell,HP1526901T2D
HP1526901T2D_J18,ductal cell,HP1526901T2D
HP1526901T2D_J19,alpha cell,HP1526901T2D
HP1526901T2D_J2,alpha cell,HP1526901T2D
HP1526901T2D_J20,delta cell,HP1526901T2D
HP1526901T2D_J21,beta cell,HP1526901T2D
HP1526901T2D_J22,delta cell,HP1526901T2D
HP1526901T2D_J24,alpha cell,HP1526901T2D
HP1526901T2D_J3,ductal cell,HP1526901T2D
HP1526901T2D_J4,alpha cell,HP1526901T2D
HP1526901T2D_J5,beta cell,HP1526901T2D
HP1526901T2D_J6,beta cell,HP1526901T2D
HP1526901T2D_J8,alpha cell,HP1526901T2D
HP1526901T2D_K1,ductal cell,HP1526901T2D
HP1526901T2D_K10,alpha cell,HP1526901T2D
HP1526901T2D_K11,gamma cell,HP1526901T2D
HP1526901T2D_K12,gamma cell,HP1526901T2D
HP1526901T2D_K14,alpha cell,HP1526901T2D
HP1526901T2D_K15,alpha cell,HP1526901T2D
HP1526901T2D_K17,acinar cell,HP1526901T2D
HP1526901T2D_K18,alpha cell,HP1526901T2D
HP1526901T2D_K19,ductal cell,HP1526901T2D
HP1526901T2D_K2,alpha cell,HP1526901T2D
HP1526901T2D_K20,beta cell,HP1526901T2D
HP1526901T2D_K21,gamma cell,HP1526901T2D
HP1526901T2D_K22,delta cell,HP1526901T2D
HP1526901T2D_K23,beta cell,HP1526901T2D
HP1526901T2D_K24,delta cell,HP1526901T2D
HP1526901T2D_K3,beta cell,HP1526901T2D
HP1526901T2D_K4,ductal cell,HP1526901T2D
HP1526901T2D_K6,alpha cell,HP1526901T2D
HP1526901T2D_K7,beta cell,HP1526901T2D
HP1526901T2D_L1,beta cell,HP1526901T2D
HP1526901T2D_L11,alpha cell,HP1526901T2D
HP1526901T2D_L12,gamma cell,HP1526901T2D
HP1526901T2D_L13,alpha cell,HP1526901T2D
HP1526901T2D_L14,gamma cell,HP1526901T2D
HP1526901T2D_L15,acinar cell,HP1526901T2D
HP1526901T2D_L16,alpha cell,HP1526901T2D
HP1526901T2D_L17,alpha cell,HP1526901T2D
HP1526901T2D_L19,alpha cell,HP1526901T2D
HP1526901T2D_L2,alpha cell,HP1526901T2D
HP1526901T2D_L21,alpha cell,HP1526901T2D
HP1526901T2D_L23,alpha cell,HP1526901T2D
HP1526901T2D_L24,delta cell,HP1526901T2D
HP1526901T2D_L3,co-expression cell,HP1526901T2D
