mix1	mix2	mix3	mix4	mix5	mix6	mix7	mix8	mix9	mix10	mix11	mix12	mix13	mix14	mix15	mix16	mix17	mix18	mix19	mix20	mix21	mix22	mix23	mix24	mix25	mix26	mix27	mix28	mix29	mix30	mix31	mix32	mix33	mix34	mix35	mix36	mix37	mix38	mix39	mix40	mix41	mix42	mix43	mix44	mix45	mix46	mix47	mix48	mix49	mix50	mix51	mix52	mix53	mix54	mix55	mix56	mix57	mix58	mix59	mix60	mix61	mix62	mix63	mix64	mix65	mix66	mix67	mix68	mix69	mix70	mix71	mix72	mix73	mix74	mix75	mix76	mix77	mix78	mix79	mix80	mix81	mix82	mix83	mix84	mix85	mix86	mix87	mix88	mix89	mix90	mix91	mix92	mix93	mix94	mix95	mix96	mix97	mix98	mix99	mix100	mix101	mix102	mix103	mix104	mix105	mix106	mix107	mix108	mix109	mix110	mix111	mix112	mix113	mix114	mix115	mix116	mix117	mix118	mix119	mix120	mix121	mix122	mix123	mix124	mix125	mix126	mix127	mix128	mix129	mix130	mix131	mix132	mix133	mix134	mix135	mix136	mix137	mix138	mix139	mix140	mix141	mix142	mix143	mix144	mix145	mix146	mix147	mix148	mix149	mix150	mix151	mix152	mix153	mix154	mix155	mix156	mix157	mix158	mix159	mix160	mix161	mix162	mix163	mix164	mix165	mix166	mix167	mix168	mix169	mix170	mix171	mix172	mix173	mix174	mix175	mix176	mix177	mix178	mix179	mix180	mix181	mix182	mix183	mix184	mix185	mix186	mix187	mix188	mix189	mix190	mix191	mix192	mix193	mix194	mix195	mix196	mix197	mix198	mix199	mix200
Group1	0.213114754098361	0.19672131147541	0.262295081967213	0.180327868852459	0.229508196721311	0.295081967213115	0.245901639344262	0.262295081967213	0.163934426229508	0.213114754098361	0.147540983606557	0.229508196721311	0.262295081967213	0.245901639344262	0.245901639344262	0.229508196721311	0.311475409836066	0.19672131147541	0.245901639344262	0.245901639344262	0.295081967213115	0.262295081967213	0.245901639344262	0.245901639344262	0.262295081967213	0.19672131147541	0.229508196721311	0.19672131147541	0.245901639344262	0.245901639344262	0.245901639344262	0.213114754098361	0.213114754098361	0.245901639344262	0.213114754098361	0.19672131147541	0.229508196721311	0.213114754098361	0.229508196721311	0.262295081967213	0.245901639344262	0.245901639344262	0.19672131147541	0.180327868852459	0.19672131147541	0.245901639344262	0.278688524590164	0.262295081967213	0.213114754098361	0.245901639344262	0.245901639344262	0.278688524590164	0.180327868852459	0.229508196721311	0.245901639344262	0.180327868852459	0.19672131147541	0.245901639344262	0.311475409836066	0.229508196721311	0.229508196721311	0.262295081967213	0.229508196721311	0.245901639344262	0.229508196721311	0.245901639344262	0.213114754098361	0.19672131147541	0.213114754098361	0.278688524590164	0.262295081967213	0.245901639344262	0.245901639344262	0.262295081967213	0.229508196721311	0.229508196721311	0.245901639344262	0.229508196721311	0.295081967213115	0.19672131147541	0.213114754098361	0.245901639344262	0.245901639344262	0.229508196721311	0.229508196721311	0.147540983606557	0.262295081967213	0.229508196721311	0.245901639344262	0.245901639344262	0.229508196721311	0.262295081967213	0.245901639344262	0.229508196721311	0.262295081967213	0.19672131147541	0.229508196721311	0.229508196721311	0.295081967213115	0.262295081967213	0.229508196721311	0.245901639344262	0.278688524590164	0.262295081967213	0.245901639344262	0.295081967213115	0.19672131147541	0.262295081967213	0.229508196721311	0.245901639344262	0.19672131147541	0.229508196721311	0.278688524590164	0.213114754098361	0.262295081967213	0.245901639344262	0.213114754098361	0.19672131147541	0.278688524590164	0.245901639344262	0.19672131147541	0.229508196721311	0.213114754098361	0.229508196721311	0.245901639344262	0.295081967213115	0.262295081967213	0.229508196721311	0.19672131147541	0.245901639344262	0.229508196721311	0.180327868852459	0.262295081967213	0.344262295081967	0.213114754098361	0.262295081967213	0.213114754098361	0.229508196721311	0.245901639344262	0.213114754098361	0.245901639344262	0.163934426229508	0.19672131147541	0.229508196721311	0.180327868852459	0.278688524590164	0.278688524590164	0.245901639344262	0.245901639344262	0.295081967213115	0.245901639344262	0.262295081967213	0.19672131147541	0.213114754098361	0.19672131147541	0.262295081967213	0.245901639344262	0.229508196721311	0.278688524590164	0.19672131147541	0.245901639344262	0.262295081967213	0.19672131147541	0.278688524590164	0.245901639344262	0.262295081967213	0.229508196721311	0.229508196721311	0.295081967213115	0.213114754098361	0.213114754098361	0.262295081967213	0.245901639344262	0.278688524590164	0.295081967213115	0.262295081967213	0.262295081967213	0.245901639344262	0.229508196721311	0.213114754098361	0.262295081967213	0.262295081967213	0.245901639344262	0.229508196721311	0.245901639344262	0.262295081967213	0.262295081967213	0.163934426229508	0.245901639344262	0.245901639344262	0.19672131147541	0.163934426229508	0.245901639344262	0.229508196721311	0.229508196721311	0.262295081967213	0.245901639344262	0.180327868852459	0.19672131147541	0.229508196721311
Group2	0.344262295081967	0.327868852459016	0.409836065573771	0.360655737704918	0.409836065573771	0.278688524590164	0.327868852459016	0.377049180327869	0.409836065573771	0.360655737704918	0.344262295081967	0.278688524590164	0.311475409836066	0.39344262295082	0.409836065573771	0.39344262295082	0.377049180327869	0.344262295081967	0.327868852459016	0.311475409836066	0.311475409836066	0.327868852459016	0.344262295081967	0.360655737704918	0.360655737704918	0.327868852459016	0.409836065573771	0.344262295081967	0.311475409836066	0.344262295081967	0.327868852459016	0.344262295081967	0.377049180327869	0.360655737704918	0.327868852459016	0.311475409836066	0.262295081967213	0.360655737704918	0.327868852459016	0.327868852459016	0.377049180327869	0.344262295081967	0.360655737704918	0.39344262295082	0.327868852459016	0.377049180327869	0.311475409836066	0.377049180327869	0.344262295081967	0.377049180327869	0.360655737704918	0.295081967213115	0.360655737704918	0.344262295081967	0.311475409836066	0.39344262295082	0.344262295081967	0.360655737704918	0.311475409836066	0.327868852459016	0.409836065573771	0.327868852459016	0.360655737704918	0.311475409836066	0.360655737704918	0.39344262295082	0.311475409836066	0.39344262295082	0.295081967213115	0.327868852459016	0.327868852459016	0.327868852459016	0.311475409836066	0.327868852459016	0.327868852459016	0.360655737704918	0.377049180327869	0.39344262295082	0.278688524590164	0.39344262295082	0.377049180327869	0.360655737704918	0.245901639344262	0.344262295081967	0.344262295081967	0.442622950819672	0.311475409836066	0.39344262295082	0.344262295081967	0.360655737704918	0.39344262295082	0.311475409836066	0.311475409836066	0.360655737704918	0.295081967213115	0.39344262295082	0.327868852459016	0.39344262295082	0.278688524590164	0.360655737704918	0.377049180327869	0.39344262295082	0.344262295081967	0.360655737704918	0.327868852459016	0.295081967213115	0.39344262295082	0.409836065573771	0.360655737704918	0.311475409836066	0.278688524590164	0.295081967213115	0.344262295081967	0.39344262295082	0.327868852459016	0.344262295081967	0.344262295081967	0.377049180327869	0.377049180327869	0.360655737704918	0.360655737704918	0.39344262295082	0.377049180327869	0.327868852459016	0.360655737704918	0.344262295081967	0.360655737704918	0.360655737704918	0.39344262295082	0.377049180327869	0.377049180327869	0.327868852459016	0.311475409836066	0.295081967213115	0.360655737704918	0.344262295081967	0.360655737704918	0.344262295081967	0.327868852459016	0.311475409836066	0.409836065573771	0.360655737704918	0.377049180327869	0.360655737704918	0.360655737704918	0.327868852459016	0.278688524590164	0.377049180327869	0.311475409836066	0.344262295081967	0.295081967213115	0.327868852459016	0.377049180327869	0.377049180327869	0.360655737704918	0.377049180327869	0.278688524590164	0.311475409836066	0.344262295081967	0.39344262295082	0.327868852459016	0.344262295081967	0.295081967213115	0.344262295081967	0.409836065573771	0.39344262295082	0.377049180327869	0.39344262295082	0.360655737704918	0.311475409836066	0.327868852459016	0.360655737704918	0.344262295081967	0.327868852459016	0.311475409836066	0.311475409836066	0.295081967213115	0.344262295081967	0.327868852459016	0.360655737704918	0.344262295081967	0.344262295081967	0.442622950819672	0.344262295081967	0.344262295081967	0.311475409836066	0.344262295081967	0.327868852459016	0.262295081967213	0.360655737704918	0.409836065573771	0.344262295081967	0.39344262295082	0.327868852459016	0.344262295081967	0.311475409836066	0.377049180327869	0.426229508196721	0.344262295081967	0.377049180327869
Group3	0.344262295081967	0.377049180327869	0.262295081967213	0.344262295081967	0.245901639344262	0.327868852459016	0.360655737704918	0.311475409836066	0.327868852459016	0.344262295081967	0.409836065573771	0.360655737704918	0.295081967213115	0.262295081967213	0.295081967213115	0.278688524590164	0.262295081967213	0.39344262295082	0.377049180327869	0.360655737704918	0.360655737704918	0.295081967213115	0.278688524590164	0.295081967213115	0.311475409836066	0.377049180327869	0.278688524590164	0.360655737704918	0.327868852459016	0.327868852459016	0.360655737704918	0.311475409836066	0.311475409836066	0.295081967213115	0.39344262295082	0.409836065573771	0.377049180327869	0.327868852459016	0.311475409836066	0.344262295081967	0.278688524590164	0.344262295081967	0.344262295081967	0.327868852459016	0.344262295081967	0.262295081967213	0.327868852459016	0.311475409836066	0.360655737704918	0.295081967213115	0.295081967213115	0.295081967213115	0.377049180327869	0.344262295081967	0.344262295081967	0.327868852459016	0.360655737704918	0.295081967213115	0.311475409836066	0.360655737704918	0.245901639344262	0.311475409836066	0.278688524590164	0.344262295081967	0.344262295081967	0.245901639344262	0.377049180327869	0.311475409836066	0.39344262295082	0.311475409836066	0.344262295081967	0.360655737704918	0.344262295081967	0.327868852459016	0.360655737704918	0.311475409836066	0.295081967213115	0.295081967213115	0.360655737704918	0.295081967213115	0.344262295081967	0.327868852459016	0.409836065573771	0.295081967213115	0.344262295081967	0.327868852459016	0.327868852459016	0.311475409836066	0.278688524590164	0.311475409836066	0.278688524590164	0.311475409836066	0.327868852459016	0.295081967213115	0.327868852459016	0.278688524590164	0.360655737704918	0.327868852459016	0.327868852459016	0.295081967213115	0.295081967213115	0.311475409836066	0.311475409836066	0.295081967213115	0.311475409836066	0.344262295081967	0.295081967213115	0.278688524590164	0.278688524590164	0.377049180327869	0.426229508196721	0.360655737704918	0.311475409836066	0.327868852459016	0.327868852459016	0.360655737704918	0.39344262295082	0.295081967213115	0.278688524590164	0.311475409836066	0.327868852459016	0.295081967213115	0.295081967213115	0.344262295081967	0.311475409836066	0.278688524590164	0.327868852459016	0.327868852459016	0.327868852459016	0.311475409836066	0.327868852459016	0.360655737704918	0.295081967213115	0.278688524590164	0.295081967213115	0.295081967213115	0.327868852459016	0.278688524590164	0.360655737704918	0.377049180327869	0.229508196721311	0.39344262295082	0.327868852459016	0.327868852459016	0.360655737704918	0.327868852459016	0.295081967213115	0.327868852459016	0.360655737704918	0.311475409836066	0.377049180327869	0.311475409836066	0.295081967213115	0.344262295081967	0.39344262295082	0.278688524590164	0.360655737704918	0.360655737704918	0.295081967213115	0.327868852459016	0.311475409836066	0.295081967213115	0.377049180327869	0.327868852459016	0.245901639344262	0.295081967213115	0.327868852459016	0.311475409836066	0.262295081967213	0.360655737704918	0.327868852459016	0.311475409836066	0.344262295081967	0.327868852459016	0.295081967213115	0.344262295081967	0.344262295081967	0.311475409836066	0.327868852459016	0.311475409836066	0.262295081967213	0.262295081967213	0.245901639344262	0.327868852459016	0.344262295081967	0.295081967213115	0.311475409836066	0.409836065573771	0.377049180327869	0.295081967213115	0.327868852459016	0.39344262295082	0.295081967213115	0.360655737704918	0.327868852459016	0.344262295081967	0.311475409836066	0.278688524590164	0.344262295081967	0.295081967213115
Group4	0.0983606557377049	0.0983606557377049	0.0655737704918033	0.114754098360656	0.114754098360656	0.0983606557377049	0.0655737704918033	0.0491803278688525	0.0983606557377049	0.0819672131147541	0.0983606557377049	0.131147540983607	0.131147540983607	0.0983606557377049	0.0491803278688525	0.0983606557377049	0.0491803278688525	0.0655737704918033	0.0491803278688525	0.0819672131147541	0.0327868852459016	0.114754098360656	0.131147540983607	0.0983606557377049	0.0655737704918033	0.0983606557377049	0.0819672131147541	0.0983606557377049	0.114754098360656	0.0819672131147541	0.0655737704918033	0.131147540983607	0.0983606557377049	0.0983606557377049	0.0655737704918033	0.0819672131147541	0.131147540983607	0.0983606557377049	0.131147540983607	0.0655737704918033	0.0983606557377049	0.0655737704918033	0.0983606557377049	0.0983606557377049	0.131147540983607	0.114754098360656	0.0819672131147541	0.0491803278688525	0.0819672131147541	0.0819672131147541	0.0983606557377049	0.131147540983607	0.0819672131147541	0.0819672131147541	0.0983606557377049	0.0983606557377049	0.0983606557377049	0.0983606557377049	0.0655737704918033	0.0819672131147541	0.114754098360656	0.0983606557377049	0.131147540983607	0.0983606557377049	0.0655737704918033	0.114754098360656	0.0983606557377049	0.0983606557377049	0.0983606557377049	0.0819672131147541	0.0655737704918033	0.0655737704918033	0.0983606557377049	0.0819672131147541	0.0819672131147541	0.0983606557377049	0.0819672131147541	0.0819672131147541	0.0655737704918033	0.114754098360656	0.0655737704918033	0.0655737704918033	0.0983606557377049	0.131147540983607	0.0819672131147541	0.0819672131147541	0.0983606557377049	0.0655737704918033	0.131147540983607	0.0819672131147541	0.0983606557377049	0.114754098360656	0.114754098360656	0.114754098360656	0.114754098360656	0.131147540983607	0.0819672131147541	0.0491803278688525	0.0983606557377049	0.0819672131147541	0.0983606557377049	0.0491803278688525	0.0655737704918033	0.0819672131147541	0.114754098360656	0.0655737704918033	0.114754098360656	0.0491803278688525	0.131147540983607	0.0655737704918033	0.0983606557377049	0.114754098360656	0.0655737704918033	0.0655737704918033	0.0819672131147541	0.0491803278688525	0.0491803278688525	0.131147540983607	0.0655737704918033	0.0819672131147541	0.114754098360656	0.0819672131147541	0.114754098360656	0.0983606557377049	0.0819672131147541	0.0819672131147541	0.0491803278688525	0.0819672131147541	0.0819672131147541	0.0655737704918033	0.0655737704918033	0.131147540983607	0.131147540983607	0.0819672131147541	0.131147540983607	0.0983606557377049	0.0983606557377049	0.147540983606557	0.0655737704918033	0.0983606557377049	0.114754098360656	0.0819672131147541	0.0983606557377049	0.0819672131147541	0.0983606557377049	0.0655737704918033	0.147540983606557	0.0491803278688525	0.0819672131147541	0.0491803278688525	0.0819672131147541	0.0983606557377049	0.131147540983607	0.0655737704918033	0.0491803278688525	0.0819672131147541	0.114754098360656	0.0983606557377049	0.0819672131147541	0.0819672131147541	0.114754098360656	0.0983606557377049	0.131147540983607	0.0491803278688525	0.0983606557377049	0.0491803278688525	0.0655737704918033	0.0655737704918033	0.0819672131147541	0.114754098360656	0.131147540983607	0.0655737704918033	0.0655737704918033	0.0655737704918033	0.0983606557377049	0.0819672131147541	0.0983606557377049	0.0983606557377049	0.114754098360656	0.114754098360656	0.131147540983607	0.131147540983607	0.0655737704918033	0.0983606557377049	0.0655737704918033	0.131147540983607	0.0819672131147541	0.0983606557377049	0.114754098360656	0.0983606557377049	0.0655737704918033	0.0983606557377049	0.0655737704918033	0.0819672131147541	0.0983606557377049	0.0819672131147541	0.0655737704918033	0.114754098360656	0.114754098360656	0.0983606557377049
